,Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
41,Vault,JB5 Jazz Bass 5 String Bass Guitar - White,"₹10,999",7 Days Replacement,"FREE delivery: Sunday, May 22 Details",In Stock,https://www.amazon.in/Vault-Jazz-Bass-String-Guitar/dp/B0B12CPQ1S/ref=sr_1_39?keywords=guitar&qid=1652621550&sr=8-39
42,Neowood,"AT-01A-Guitar Tuner-Black Automatic Digital Tuner (Chromatic: Yes, Black)",₹249,7 Days Replacement,"FREE delivery: Wednesday, May 18 Details",In Stock,https://www.amazon.in/Neowood-AT-01A-Guitar-Tuner-Black-Automatic-Chromatic/dp/B09XHTXG97/ref=sr_1_40?keywords=guitar&qid=1652621550&sr=8-40
43,Medellin,"38"" Carbon Fiber Acoustic Guitar with free specailized learning course- MDCF38BK Durable Carbon Fiber Matt Pink finish Body for beginners with handrest, set of Strings, Strap, Bag, 3 Picks, Capo, Guitar Wall Hanging Stand and Free GUITAR LEARNING COURSE (Special Learning Combo with Guitar)","₹2,499",7 Days Replacement,"FREE delivery: Saturday, May 21 Details",In Stock,https://www.amazon.in/Medellin-Acoustic-specailized-learning-beginners/dp/B09MSH3RY1/ref=sr_1_41?keywords=guitar&qid=1652621550&sr=8-41
44,Intern,"INT-38C Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Natural","₹2,190",7 Days Replacement,FREE delivery: May 20 - 30 Details,In Stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Natural/dp/B073B4D22T/ref=sr_1_42?keywords=guitar&qid=1652621550&sr=8-42
45,Juarez,"JRZ-ST01 6-String Electric Guitar, Right Handed, Full Black, with Case/Bag and Picks","₹6,218",7 Days Replacement,"FREE delivery: Thursday, May 19 Details",In Stock,https://www.amazon.in/Juarez-JRZ-ST01-6-String-Electric-Without/dp/B01FYZSOGM/ref=sr_1_43?keywords=guitar&qid=1652621550&sr=8-43
46,Vault,"Traveller 34 Inch Acoustic Guitar With Bag, Strap, Strings, Polishing Cloth, String Winder and Picks - Natural Gloss","₹3,799",7 Days Replacement,"FREE delivery: Friday, May 20 Details",In Stock,https://www.amazon.in/Traveller-Acoustic-Guitar-Strings-Polishing/dp/B07RK9962M/ref=sr_1_44?keywords=guitar&qid=1652621550&sr=8-44
47,Kadence,"Frontier Series,Black Acoustic Guitar With Die Cast Keys Combo (Bag,strap,strings and 3 picks)","₹4,999.00",7 Days Replacement,"FREE delivery: Saturday, May 21 Details",In Stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B01CJJG328/ref=sr_1_45?keywords=guitar&qid=1652621550&sr=8-45
48,Yamaha,"F310 Acoustic Guitar, Tobacco Brown Sunburst","₹9,490",7 Days Replacement,"FREE delivery: Sunday, May 22 Details",In Stock,https://www.amazon.in/Yamaha-Acoustic-Guitar-Tobacco-Sunburst/dp/B08Z35ZR9Y/ref=sr_1_46?keywords=guitar&qid=1652621550&sr=8-46
49,Kadence,"Astro Man Electric Guitar, 24 FRETS, H- S - S PICK UPS Walnut Top with Alder wood Back and Sides (white)","₹8,999.00",7 Days Replacement,FREE delivery: May 17 - 21 Details,In Stock,https://www.amazon.in/Kadence-Astro-Electric-Guitar-FRETS/dp/B09YHPH1MZ/ref=sr_1_47?keywords=guitar&qid=1652621550&sr=8-47
50,Ketostics™,"Venus Special Cutaway Rosewood 41 Inch Givson Venus Special Acoustic Guitar Kit with Bag, Rhythm String Set, Strap and 5 Plectrums, (Red)","₹3,799",7 Days Replacement,"FREE delivery: Thursday, May 19 Details",In Stock,https://www.amazon.in/Ketostics-Givson-Special-Acoustic-plectrums/dp/B07RDC1CW2/ref=sr_1_48?keywords=guitar&qid=1652621550&sr=8-48
51,Yamaha,"FS100C Acoustic Guitar, Natural","₹9,990",7 Days Replacement,"FREE delivery: Saturday, May 21 Details",In Stock,https://www.amazon.in/Yamaha-FS100C-Acoustic-Guitars-Natural/dp/B00QKD79QE/ref=sr_1_49?keywords=guitar&qid=1652621550&sr=8-49
52,Givsun,"Crown Special (Black Matt) 6-string Cut A Way,Right hand Acoustic Semi-Electric Guitar with Bag and Free 1set string,2picks.","₹3,970",7 Days Replacement,"FREE delivery: Friday, May 20 Details",In Stock,https://www.amazon.in/Special-6-string-Acoustic-Semi-Electric-2picks/dp/B09K7VWKBM/ref=sr_1_50?keywords=guitar&qid=1652621550&sr=8-50
53,Kadence,"AstroMan Electric Guitar, 21 FRETS, ROSEWOOD FRETBOARD, H - S - S PICK UPS Black combo with Bag, Guitar strap,guitar cable and Picks","₹6,999",7 Days Replacement,"FREE delivery: Saturday, May 21 Details",In Stock,https://www.amazon.in/Kadence-Electric-Guitar-Rosewood-Fretboard/dp/B07BGW6JVL/ref=sr_1_51?keywords=guitar&qid=1652621550&sr=8-51
54,JUAREZ,Acoustic Guitar 3xE 1st String & 2 Pick Set JRGSE32,₹181,7 Days Replacement,"FREE delivery: Friday, May 20 on first order.",In Stock,https://www.amazon.in/JUAREZ-Acoustic-Guitar-String-JRGSE32/dp/B08MW1WPW5/ref=sr_1_52?keywords=guitar&qid=1652621550&sr=8-52
55,Givson,"Venus Special Cutaway Rosewood 41 Inch Acoustic Guitar Kit With Cover/Bag, String Set, Strap and 5 Plectrums (BLACK)","₹4,199",7 Days Replacement,"FREE delivery: Thursday, May 19 Details",In Stock,https://www.amazon.in/Givson-Ketostics-Guitar-Acoustic-Plectrums/dp/B08KS5MRSC/ref=sr_1_53?keywords=guitar&qid=1652621550&sr=8-53
56,Henrix,"38C 38 inch Cutaway Acoustic Guitar with Dual Action Truss Rod, Gigbag, Picks, String Set, Strap, Cloth & Ebook","₹2,564",7 Days Replacement,"FREE delivery: Sunday, May 22 Details",In Stock,https://www.amazon.in/Henrix-Acoustic-Guitar-Die-cast-Dual-action/dp/B07VNDWSGD/ref=sr_1_54?keywords=guitar&qid=1652621550&sr=8-54
